"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-03-13,42,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-14,39,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-15,41,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-16,46,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-17,32,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-18,47,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-19,36,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-20,34,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-22,49,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-23,48,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-24,44,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-25,43,"Bryson City","Ozone","Swain",35.434767,-83.442133
